lat,lon,accuracy,f1_macro,f1_weighted,mcc,balanced_accuracy,n_samples,f1_class0,f1_class1,f1_class2,f1_class3,f1_class4
11.5,75.75,0.7916666666666666,0.5615686274509804,0.816830065359477,0.5738721461677371,0.5628571428571428,48,0.9411764705882353,0.2222222222222222,0.4444444444444444,0.4,0.8
11.5,76.0,0.75,0.6446969696969698,0.7773042929292929,0.5354435861331129,0.6680392156862746,48,0.875,0.18181818181818182,0.5,0.6666666666666666,1.0
11.5,76.25,0.7708333333333334,0.5141552511415525,0.7411054033485539,0.4548626696991656,0.47411764705882353,48,0.9041095890410958,0.25,0.25,0.5,0.6666666666666666
11.5,76.5,0.8125,0.5823529411764705,0.8054096638655461,0.6047125938466745,0.5795454545454545,48,0.9117647058823529,0.7142857142857143,0.2857142857142857,0.0,1.0
11.5,76.75,0.8333333333333334,0.4230769230769231,0.84375,0.49868247465327653,0.4871794871794871,48,0.9487179487179487,0.0,0.5,0.0,0.6666666666666666
11.5,77.0,0.7916666666666666,0.604593837535014,0.8381069094304389,0.5811232241794095,0.7737179487179487,48,0.8857142857142857,0.47058823529411764,1.0,0.0,0.6666666666666666
11.5,77.25,0.8333333333333334,0.48408851422550053,0.8427877297740313,0.5888244744888119,0.5739864864864865,48,0.958904109589041,0.46153846153846156,0.3333333333333333,0.0,0.6666666666666666
11.5,77.5,0.7083333333333334,0.4928299678080187,0.7378182616330116,0.41497501891308275,0.5466666666666666,48,0.8955223880597015,0.23529411764705882,0.0,0.6666666666666666,0.6666666666666666
11.5,77.75,0.6666666666666666,0.4654715219421101,0.7537270463741051,0.45335769916774793,0.5923423423423424,48,0.8253968253968254,0.23529411764705882,0.6,0.0,0.6666666666666666
11.5,78.0,0.7083333333333334,0.3651240778001341,0.7733344511513525,0.38670649107138144,0.48541666666666666,48,0.8732394366197183,0.2857142857142857,0.0,0.0,0.6666666666666666
11.5,78.25,0.7291666666666666,0.39045454545454544,0.7917803030303031,0.3365407798363392,0.5297619047619048,48,0.88,0.18181818181818182,0.0,0.5,0.0
11.5,78.5,0.7916666666666666,0.4778481012658228,0.8581223628691982,0.3915652184225989,0.6124031007751939,48,0.9113924050632911,0.0,0.0,1.0,0.0
11.5,78.75,0.8541666666666666,0.7628205128205128,0.8808760683760685,0.6010842423797851,0.9017857142857143,48,0.9230769230769231,0.46153846153846156,0.6666666666666666,0.0,1.0
11.5,79.0,0.8125,0.5576923076923077,0.8541666666666669,0.46270513622041015,0.5892857142857143,48,0.9230769230769231,0.3076923076923077,0.0,0.0,1.0
11.5,79.25,0.8125,0.45272727272727276,0.8386363636363637,0.38079758097502486,0.5892857142857143,48,0.9,0.36363636363636365,0.0,0.0,1.0
11.5,79.5,0.875,0.28401084010840105,0.8906955736224029,0.5310621556839008,0.3630952380952381,48,0.975609756097561,0.4444444444444444,0.0,0.0,0.0
11.5,79.75,0.8958333333333334,0.41500000000000004,0.9161458333333333,0.6523555273609417,0.683739837398374,48,0.975,0.6,0.0,0.5,0.0
11.75,75.5,0.7083333333333334,0.47792264232942194,0.7509280385339707,0.5259066721233276,0.6020833333333333,48,0.9152542372881356,0.3076923076923077,0.0,0.6666666666666666,0.5
11.75,75.75,0.8333333333333334,0.6735930735930735,0.8392857142857143,0.675044341353334,0.6845454545454546,48,0.9393939393939394,0.25,0.5714285714285714,0.75,0.8571428571428571
11.75,76.0,0.7083333333333334,0.38535947712418295,0.7222222222222222,0.402238274492545,0.3931372549019608,48,0.8823529411764706,0.2,0.4444444444444444,0.0,0.4
11.75,76.25,0.6875,0.4993806921675773,0.6999544626593807,0.45198170035185875,0.5575757575757576,48,0.8524590163934426,0.4444444444444444,0.0,0.4,0.8
11.75,76.5,0.6458333333333334,0.32875,0.7024739583333334,0.3655971128588272,0.3659459459459459,48,0.84375,0.3,0.0,0.0,0.5
